Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0603",122.817600,-75.287600,0.000000,top
"C2","2.2uF","C_0603",125.717600,-70.887600,0.000000,top
"C3","MLCC 10UF 10V","C_0603",114.717600,-63.787600,0.000000,top
"D1","ADR5040BRTZ-REEL7 2.048V","SOT-23",125.217600,-67.787600,90.000000,top
"D2","Blue","LED_0603",108.817600,-93.887600,0.000000,top
"D3","Red","LED_0603",104.717600,-54.987600,0.000000,top
"D4","Green","LED_0603",129.317600,-54.787600,0.000000,top
"Q1","IRLML6244TRPBF","SOT-23",114.117600,-60.787600,90.000000,top
"R1","10K","R_0603",125.717600,-63.787600,180.000000,top
"R2","1K","R_0603",122.717600,-87.287600,0.000000,top
"R3","470KOHMS ±1% 1/10W","R_0603",120.017600,-63.787600,0.000000,top
"R4","390KOHMS ±1% 1/10W","R_0603",120.017600,-66.787600,180.000000,top
"R5","510R","R_0603",125.717600,-60.587600,180.000000,top
"R6","2R 1W","R_2512",109.617600,-68.787600,90.000000,top
"R7","2R 1W","R_2512",109.617600,-79.987600,270.000000,top
"R8","2R 1W","R_2512",105.117600,-68.787600,90.000000,top
"R9","2R 1W","R_2512",105.117600,-79.987600,270.000000,top
"R10","2R 1W","R_2512",105.117600,-60.399200,90.000000,top
"R11","2R 1W","R_2512",105.117600,-88.276000,270.000000,top
"R12","2R 1W","R_2512",109.617600,-60.399200,270.000000,top
"R13","2R 1W","R_2512",109.617600,-88.276000,90.000000,top
"R14","510R","R_0603",114.717600,-69.787600,0.000000,top
"R15","47K","R_0603",114.717600,-66.787600,0.000000,top
"R16","4K7","R_0603",120.017600,-60.587600,0.000000,top
"R17","2K2","R_0603",114.617600,-57.587600,180.000000,top
"R18","2K2","R_0603",129.317600,-56.787600,180.000000,top
"R19","NCP18WB473J03RB","R_0603",105.517600,-74.387600,0.000000,top
"R20","47K","R_0603",114.717600,-74.487600,0.000000,top
"R21","47K","R_0603",120.017600,-69.787600,180.000000,top
"R23","1K8","R_0603",109.417600,-96.387600,180.000000,top
"U1","HMHA2801AR2","SOP-4_4.4x2.8mm_Pitch1.27mm",117.217600,-52.287600,90.000000,top
"U4","ATtiny841-SSU","SOIC-14_3.9x8.7mm_Pitch1.27mm",122.817600,-81.287600,0.000000,top
