Comment,Designator,Footprint,LCSC Part #
100nF,C1,C_0805,C49678
1K,R2,R_0603,C21190
2.2uF,C2,C_0603,C23630
390KOHMS 1% 1/10W,R4,R_0603,C23150
10K,R1,R_0603,C25804
2R 1W,R10,R_2512,C49298
2R 1W,R7,R_2512,C49298
2R 1W,R11,R_2512,C49298
47K,R15,R_0603,C25819
2K2,R17,R_0603,C4190
47K,R20,R_0603,C25819
510R,R14,R_0603,C23193
Blue,D2,LED_0805,C2293
2K2,R18,R_0603,C4190
Red,D3,LED_0805,C84256
4K7,R16,R_0603,C23162
IRLML6244TRPBF,Q1,SOT-23,C143946
2R 1W,R13,R_2512,C49298
2R 1W,R9,R_2512,C49298
2R 1W,R12,R_2512,C49298
2R 1W,R8,R_2512,C49298
2R 1W,R6,R_2512,C49298
510R,R5,R_0603,C23193
47K,R21,R_0603,C25819
NCP18WB473J03RB,R19,R_0603,C86142
1K8,R23,R_0603,C4177
MLCC 10UF 10V,C3,C_0603,C19702
Green,D4,LED_0805,C2297
ADR5040BRTZ-REEL7 2.048V,D1,SOT-23,C48833
EL3H7(B)(TA)-G,U1,SOP-4_4.4x2.8mm_Pitch1.27mm,C32565
470KOHMS 1% 1/10W,R3,R_0603,C23178
