"Comment","Designator","Footprint","LCSC Part #"
"ATtiny841-SSU","ATTINY841","SOIC-14_3.9x8.7mm_Pitch1.27mm","C219103"
"100nF","C1","C_0805","C49678"
"2.2uF","C2","C_0603","C23630"
"MLCC 10UF 10V","C3","C_0603","C19702"
"ADR5040BRTZ-REEL7 2.048V","D1","SOT-23","C48833"
"Blue","D2","LED_0805","C2293"
"Red","D3","LED_0805","C84256"
"Green","D4","LED_0805","C2297"
"IRLML6244TRPBF","Q1","SOT-23","C143946"
"10K","R1","R_0603","C25804"
"1K","R2","R_0603","C21190"
"470KOHMS 1% 1/10W","R3","R_0603","C23178"
"390KOHMS 1% 1/10W","R4","R_0603","C23150"
"510R","R5,R14","R_0603","C23193"
"2R 1W","R6,R8,R10,R12,R7,R9,R11,R13","R_2512","C49298"
"47K","R15,R20,R21","R_0603","C25819"
"4K7","R16","R_0603","C23162"
"2K2","R17,R18","R_0603","C4190"
"NCP18WB473J03RB","R19","R_0603","C86142"
"1K8","R23","R_0603","C4177"
"EL3H7(B)(TA)-G","U1","SOP-4_4.4x2.8mm_Pitch1.27mm","C32565"
