"Comment","Designator","Footprint","LCSC Part #"
"100nF","C1,C2,C5,C6","C_0805_2012Metric","C49678"
"22uF 6.3V","C3,C4","CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder","C126948"
"1uF","C10","C_0805_2012Metric","C28323"
"RGB","D1","LED_RGB_5050-6","C219409"
"LL4148","D2,D5","D_MiniMELF","C9808"
"YELLOW LED","D3,D4","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder","C72038"
"NUP2105LT1G","D8","SOT-23","C14486"
"Fuse, 1.85A","F1","Fuse_2920_7451Metric","C262041"
"ScrewTerminal","J1,J4,J7,J12,J5","Terminal-Block_3.81_4P_LCSC_C395880","C395880"
"ScrewTerminal3Pin","J3,J2","Terminal-Block_5.0mm_3P-LCSC_C395850","C395850"
"AVR-ISP-6","J6","PinHeader_2x03_P2.54mm_Vertical","C65114"
"2x3 2.54mm IDC Connectors","J8","PinHeader_2x03_P2.54mm_Vertical","C132438"
"Conn_01x02_Female","J10","PinHeader_1x02_P2.54mm_Horizontal","C376120"
"SRD-05VDC-SL-C","K1,K2","RELAY_SRD-05VDC-SL-C","C35449"
"AO3400A","Q1,Q2","SOT-23","C344010"
"AO3401A","Q3","SOT-23","C15127"
"180R","R3,R21","R_0805_2012Metric","C25270"
"300R","R4,R17","R_0805_2012Metric","C17617"
"2K2","R5,R16,R2","R_0805_2012Metric","C17520"
"120R","R6,R9","R_0805_2012Metric","C17437"
"100R","R8,R1","R_0805_2012Metric","C17408"
"220R","R10,R14,R18,R25","R_0805_2012Metric","C17557"
"10K","R11,R15,R19,R20,R24","R_0805_2012Metric","C17414"
"560R","R12,R13","R_0805_2012Metric","C28636"
"Receive","RX1,RX2","JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal","C157932"
"Transmit","TX1,TX2","JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal","C157932"
"TJA1051T/3","U1","SOIC-8_3.9x4.9mm_P1.27mm","C38695"
"EL3H7(B)(TA)-G","U2","SOP-4_4.4x2.6mm_P1.27mm","C32565"
"TCA6408AQPWRQ1","U3","TSSOP-16_4.4x5mm_P0.65mm","C201668"
"SN65HVD75DR","U5","SOIC-8_3.9x4.9mm_P1.27mm","C57928"
"AMS1117-3.3","U6","SOT-223-3_TabPin2","C6186"
"TCA9534A","U8","TSSOP-16_4.4x5mm_P0.65mm","C206010"
"AQY212GSZ","U9,U12","SO-4_4.4x3.6mm_P2.54mm","C129283"
"MicroSD_SPI_CD","U11","microSD_HC_Molex_104031-0811","C585350"
