Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0805_2012Metric",51.518980,21.189200,0.000000,top
"C2","100nF","C_0805_2012Metric",73.664940,15.355260,180.000000,top
"C3","22uF 6.3V","CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder",78.464000,63.219200,90.000000,top
"C4","22uF 6.3V","CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder",81.314000,65.729200,90.000000,top
"C5","100nF","C_0805_2012Metric",25.883740,17.871440,0.000000,top
"C6","100nF","C_0805_2012Metric",59.092480,22.660000,0.000000,top
"C8","100nF","C_0805_2012Metric",85.922980,54.066440,0.000000,top
"C9","1uF","C_0805_2012Metric",90.472980,54.066440,0.000000,top
"C10","1uF","C_0805_2012Metric",105.340000,36.910000,180.000000,top
"D1","RGB","LED_RGB_5050-6",16.377240,13.566320,0.000000,top
"D2","LL4148","D_MiniMELF",115.350000,63.570000,90.000000,top
"D3","YELLOW LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",90.425000,85.840000,0.000000,top
"D4","YELLOW LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",58.400000,85.840000,0.000000,top
"D5","LL4148","D_MiniMELF",62.500000,66.100000,90.000000,top
"D6","YELLOW LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",86.425900,40.533320,0.000000,top
"D8","NUP2105LT1G","SOT-23",79.040000,11.640000,270.000000,top
"F1","Fuse, 1.85A","Fuse_2920_7451Metric",83.670000,75.760000,0.000000,top
"Q1","AO3400A","SOT-23",116.800000,70.600000,180.000000,top
"Q2","AO3400A","SOT-23",64.000000,71.100000,180.000000,top
"Q3","AO3401A","SOT-23",72.625000,71.975000,180.000000,top
"R1","100R","R_0805_2012Metric",9.762240,11.656320,180.000000,top
"R2","2K2","R_0805_2012Metric",87.840000,14.560000,0.000000,top
"R3","180R","R_0805_2012Metric",92.380000,22.880000,180.000000,top
"R4","300R","R_0805_2012Metric",9.762240,13.656320,180.000000,top
"R5","2K2","R_0805_2012Metric",12.378700,75.389420,0.000000,top
"R6","120R","R_0805_2012Metric",82.002740,21.414460,180.000000,top
"R7","180R","R_0805_2012Metric",107.060000,22.880000,180.000000,top
"R8","100R","R_0805_2012Metric",73.770000,67.000000,270.000000,top
"R9","120R","R_0805_2012Metric",47.840000,11.670000,0.000000,top
"R10","220R","R_0805_2012Metric",117.950000,66.850000,270.000000,top
"R11","10K","R_0805_2012Metric",116.950000,74.600000,180.000000,top
"R12","560R","R_0805_2012Metric",90.025000,83.475000,0.000000,top
"R13","560R","R_0805_2012Metric",58.000000,83.475000,0.000000,top
"R14","220R","R_0805_2012Metric",64.750000,66.100000,270.000000,top
"R15","10K","R_0805_2012Metric",64.000000,75.150000,180.000000,top
"R16","2K2","R_0805_2012Metric",12.449820,77.685580,0.000000,top
"R17","300R","R_0805_2012Metric",9.762240,15.556320,180.000000,top
"R18","220R","R_0805_2012Metric",27.640000,72.840000,180.000000,top
"R19","10K","R_0805_2012Metric",68.477000,18.633440,0.000000,top
"R20","10K","R_0805_2012Metric",10.225180,56.014620,0.000000,top
"R21","180R","R_0805_2012Metric",36.290000,14.120000,0.000000,top
"R22","180R","R_0805_2012Metric",90.056680,40.460700,0.000000,top
"R23","10K","R_0805_2012Metric",97.027860,54.091840,0.000000,top
"R24","10K","R_0805_2012Metric",34.400000,10.560000,180.000000,top
"R25","220R","R_0805_2012Metric",18.590000,72.840000,0.000000,top
"R26","2K2","R_0805_2012Metric",98.720000,14.560000,0.000000,top
"U1","TJA1051T/3","SOIC-8_3.9x4.9mm_P1.27mm",75.340000,19.470000,0.000000,top
"U2","EL3H7(B)(TA)-G","SOP-4_4.4x2.6mm_P1.27mm",92.308320,17.419500,270.000000,top
"U3","TCA6408AQPWRQ1","TSSOP-16_4.4x5mm_P0.65mm",61.327680,18.299200,0.000000,top
"U5","SN65HVD75DR","SOIC-8_3.9x4.9mm_P1.27mm",49.584980,16.249200,0.000000,top
"U6","AMS1117-3.3","SOT-223-3_TabPin2",87.679000,64.324200,0.000000,top
"U7","EL3H7(B)(TA)-G","SOP-4_4.4x2.6mm_P1.27mm",107.070000,17.419500,270.000000,top
"U8","TCA9534A","TSSOP-16_4.4x5mm_P0.65mm",26.994600,13.368200,0.000000,top
"U9","AQY212GSZ","SO-4_4.4x3.6mm_P2.54mm",34.255000,76.915000,0.000000,top
"U10","ATtiny841-SSU","SOIC-14_3.9x8.7mm_P1.27mm",88.178500,48.254920,0.000000,top
"U11","MicroSD_SPI_CD","microSD_HC_Molex_104031-0811",111.310000,48.390000,270.000000,top
"U12","AQY212GSZ","SO-4_4.4x3.6mm_P2.54mm",21.350000,76.940000,0.000000,top
