Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet,LCSCStockCode,PartNumber,Height,Manufacturer_Name,Manufacturer_Part_Number,Mouser Part Number,Mouser Price/Stock,Arrow Part Number,Arrow Price/Stock,JLCPCBRotation,DONOTPLACE
1,Unpolarized capacitor,C,C1 C2 C6 C8 C9 C14,100nF,C_0805_2012Metric,6, ,https://datasheet.lcsc.com/szlcsc/YAGEO-CC0805KRX7R9BB104_C49678.pdf,C49678,CC0805KRX7R9BB104,,,,,,,,,
2,Unpolarized capacitor,C,C7 C10 C11 C13,1uF,C_0805_2012Metric,4, ,,C28323,CL21B105KBFNNNE,,,,,,,,,
3,Unpolarized capacitor,C,C3 C4,22uF 6.3V,CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder,2, ,https://datasheet.lcsc.com/szlcsc/Hunan-Xiangyee-in-S-T-CA45-A010M226T_C126948.pdf,C110786,TC212A226K006Y,,,,,,,,,
4,Unpolarized capacitor,C,C5,22uF,C_1206_3216Metric,1, ,,C5672,CL31A226KPHNNNE,,,,,,,,,
5,Unpolarized capacitor,C,C12,0.1uF-100V,C_0805_2012Metric,1, ,,C696367,C0805C104K1RECAUTO,,,,,,,,,
6,Diode,D,D2 D5,LL4148,D_MiniMELF,2, ,https://datasheet.lcsc.com/szlcsc/Semtech-LL4148_C9808.pdf,C9808,LL4148,,,,,,,,,
7,"RGB LED, red/green/blue/cathode",LED_RGBC,D6,MHPC3528CRGBCT,LED_MHPC3528CRGBCT,1, ,https://datasheet.lcsc.com/lcsc/2202141600_MEIHUA-MHPC3528CRGBCT_C2962096.pdf,,,,,,,,,,,
8,"Dual Line CAN Bus Protector, 24Vrwm",NUP2105L,D8,NUP2105LT1G,SOT-23,1, ,http://www.onsemi.com/pub_link/Collateral/NUP2105L-D.PDF,C2976509,,,,,,,,,,
9,"RGB LED, 6 pin package",LED_RGB,D1,RGB,LED_RGB_5050-6,1, ,https://datasheet.lcsc.com/szlcsc/Hongli-Zhihui-HONGLITRONIC-HL-AF-5060H271BU46FU79GC-S1-THL_C219409.pdf,C219409,,,,,,,,,,
10,Light emitting diode,LED,D3 D4,YELLOW LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,2, ,,C72038,,,,,,,,,,
11,"Resettable fuse, polymeric positive temperature coefficient",Polyfuse,F1,"Fuse, 1.85A",Fuse_2920_7451Metric,1, ,https://datasheet.lcsc.com/szlcsc/TLC-Electronic-TLC-LSMD185_C262041.pdf,C262041,TLC-LSMD185,,,,,,,,,
12,Atmel 6-pin ISP connector,AVR-ISP-6,J8,2x3 2.54mm IDC Connectors,PinHeader_2x03_P2.54mm_Vertical,1, ,https://lcsc.com/product-detail/IDC-Connectors_Ckmtw-Shenzhen-Cankemeng-C132438_C132438.html,C132438,,,,,,,,,,
13,"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x02_Female,J10,Conn_01x02_Female,PinHeader_1x02_P2.54mm_Horizontal,1, ,~,C376120,,,,,,,,,,
14,Memory Card Connectors 1.10MM MICRO SD 08P HINGE TYPE,0472192001,J15,Molex 0472192001,0472192001,1, ,https://www.molex.com/pdm_docs/sd/472192001_sd.pdf,C164170,,1.9,Molex,0472192001,N/A,https://www.mouser.com/Search/Refine.aspx?Keyword=N%2FA,0472192001,https://www.arrow.com/en/products/0472192001/molex,180,
15,"Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x04_Female,J1 J4 J7 J9 J12,ScrewTerminal,Terminal-Block_3.81_4P_LCSC_C395880,5, ,~,C395880,,,,,,,,,,
16,"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x02_Female,J5,ScrewTerminal,Terminal-Block_3.81_2P-LCSC_C395878,1, ,~,C395878,,,,,,,,,,
17,"Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x03_Female,J2 J3,ScrewTerminal3Pin,Terminal-Block_5.0mm_3P-LCSC_C395850,2, ,~,C395850,,,,,,,,,,
18,"Generic connector, single row, 01x07, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x07_Female,J14,Unused header,PinHeader_1x07_P2.54mm_Vertical,1, ,~,,,,,,,,,,,TRUE
19,,SRD-05VDC-SL-C-ControllerCircuit,K1 K2,SRD-05VDC-SL-C,RELAY_SRD-05VDC-SL-C,2, ,https://datasheet.lcsc.com/szlcsc/1811021933_Ningbo-Songle-Relay-SRD-05VDC-SL-C_C35449.pdf,C35449,SRD-05VDC-SL-C,,,,,,,,,
20,,LCD-ControllerCircuit,LCD1,LCD,TFTSPI_2_8_240x320_TOUCH,1, ,,C52711/C358718,,,,,,,,,,
21,"N-MOSFET transistor, gate/source/drain",Q_NMOS_GSD,Q1 Q2,AO3400A,SOT-23,2, ,https://datasheet.lcsc.com/szlcsc/1812111733_Bourne-Semicon-Shenzhen-AO3400A_C344010.pdf,C344010,AO3400A,,,,,,,,,
22,"30V Vds, 5.7A Id, N-Channel MOSFET, SOT-23",AO3400A,Q4,AO3400A,SOT-23,1, ,http://www.aosmd.com/pdfs/datasheet/AO3400A.pdf,C344010,AO3400A,,,,,,,,,
23,"-4.0A Id, -30V Vds, P-Channel MOSFET, SOT-23",AO3401A,Q3,AO3401A,SOT-23,1, ,https://datasheet.lcsc.com/szlcsc/Alpha-Omega-Semicon-AOS-AO3401A_C15127.pdf,C15127,,,,,,,,,,
24,Resistor,R,R23 R30,10R,R_0805_2012Metric,2, ,~,C17415,0805W8F100JT5E,,,,,,,,,
25,Resistor,R,R6 R8 R9,120R,R_0805_2012Metric,3, ,~,C17437,0805W8F1200T5E,,,,,,,,,
26,Resistor,R,R3,180R,R_0805_2012Metric,1, ,~,C25270,0805W8F1800T5E,,,,,,,,,
27,Resistor,R,R1 R17 R18 R21 R25,220R,R_0805_2012Metric,5, ,~,C17557,0805W8F2200T5E,,,,,,,,,
28,Resistor,R,R4 R10 R12 R13 R14,560R,R_0805_2012Metric,5, ,~,C28636,0805W8F5600T5E,,,,,,,,,
29,Resistor,R,R2 R5 R16,2K2,R_0805_2012Metric,3, ,~,C17520,0805W8F2201T5E,,,,,,,,,
30,Resistor,R,R19 R22 R29 R31 R32,10K,R_0805_2012Metric,5, ,~,C17414,0805W8F1002T5E,,,,,,,,,
31,Resistor,R,R24 R26 R28,22K,R_0805_2012Metric,3, ,~,C17560,0805W8F2202T5E,,,,,,,,,
32,Resistor,R,R7 R11 R15 R27,51K,R_0805_2012Metric,4, ,~,C17737,0805W8F5102T5E,,,,,,,,,
33,Resistor,R,R20,1M,R_0805_2012Metric,1, ,~,C17514,0805W8F1004T5E,,,,,,,,,
34,"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x02_Male,RX1 TX1,Receive,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,2, ,,C157932,S2B-PH-K-S-GW,,,,,,,,,
35,"Push button switch, generic, two pins",SW_Push,SW1 SW2,SW_Push,SW_PUSH_6mm_H5mm,2, ,~,C455101,XUNPU TS-1002-10026,,,,,,,,,
36,"1A Low Dropout regulator, positive, 3.3V fixed output, SOT-223",AMS1117-3.3,U6,AMS1117-3.3,SOT-223-3_TabPin2,1, ,http://www.advanced-monolithic.com/pdf/ds1117.pdf,C6186,AMS1117-3.3,,,,,,,,,
37,"Form A, Solid State Relay (Photo MOSFET) 60V, 0.2A, 10Ohm, SO-4",ASSR-1218,U9 U12,AQY282SX,SO-4_4.4x3.6mm_P2.54mm,2, ,https://datasheet.lcsc.com/lcsc/1912111437_PANASONIC-AQY282SX_C250827.pdf,C250827,,,,,,,,,,
38,"DC Optocoupler, Vce 35V, CTR 50-300%, DIP-4",PC817,U2,EL3H7(B)(TA)-G,SOP-4_4.4x2.6mm_P1.27mm,1, ,https://datasheet.lcsc.com/szlcsc/Everlight-Elec-EL3H7-B-TA-G_C32565.pdf,C32565,,,,,,,,,,
39,,ESP32-DEVKITC-32D-ControllerCircuit,U4,ESP32-DEVKITC-32D,MODULE_ESP32-DEVKITC-32D,1, ,Espressif Systems,C319202/C319202,,,,,,,,,,
40,,INA229-Q1-INA229-Q1,U8,INA229,VSSOP-10_3x3mm_P0.5mm,1, ,https://www.ti.com/lit/ds/symlink/ina229-q1.pdf,C2846803,INA229AIDGSR,,,,,,,,,
41,"CAN Bus Transceiver, EMC optimised, 5.0V, 1Mbps, SOIC-8",SN65HVD1050D,U7,SN65HVD1050D,SOIC-8_3.9x4.9mm_P1.27mm,1, ,http://www.ti.com/lit/ds/symlink/sn65hvd1050.pdf,C14019,,,,,,,,,,
42,,SN65HVD75DR-ControllerCircuit,U5,SN65HVD75DR,SOIC-8_3.9x4.9mm_P1.27mm,1, ,https://www.ti.com/store/ti/en/p/product/?p=SN65HVD75DR,C57928,SN65HVD75DR,,,,,,,,,
43,,TCA6416APWR,U3,TCA6416APWR,TSSOP-24_4.4x7.8mm_P0.65mm,1, ,https://www.ti.com/lit/gpn/TCA6416A,C130203,,,,,,,,,,
44,"2-Bit Bidirectional Voltage-Level Shifter for Open-Drain and Push-Pull Application, VSSOP-8",TXS0102DCU,U1,TXS0102DCU,VSSOP-8_2.3x2mm_P0.5mm,1, ,http://www.ti.com/lit/gpn/txs0102,C53434,,,,,,,,,,
