Reference, Quantity, Value, Footprint, Datasheet, JLCPCBRotation, LCSCStockCode, PartNumber, DONOTPLACE, Arrow Part Number, Arrow Price/Stock, Description, Height, Manufacturer_Name, Manufacturer_Part_Number, Mouser Part Number, Mouser Price/Stock
C1 C2 C5 C6 C8 ,5,"100nF","Capacitor_SMD:C_0805_2012Metric","https://datasheet.lcsc.com/szlcsc/YAGEO-CC0805KRX7R9BB104_C49678.pdf","","C49678","","","","","","","","","",""
C3 C4 ,2,"22uF 6.3V","Capacitor_Tantalum_SMD:CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder","https://datasheet.lcsc.com/szlcsc/Hunan-Xiangyee-in-S-T-CA45-A010M226T_C126948.pdf","","C126948","CA45-A010M226T","","","","","","","","",""
C9 C10 ,2,"1uF","Capacitor_SMD:C_0805_2012Metric","","","","CL21B105KBFNNNE","TRUE","","","","","","","",""
D1 ,1,"RGB","LED_SMD:LED_RGB_5050-6","https://datasheet.lcsc.com/szlcsc/Hongli-Zhihui-HONGLITRONIC-HL-AF-5060H271BU46FU79GC-S1-THL_C219409.pdf","","C219409","","","","","","","","","",""
D2 D5 ,2,"LL4148","Diode_SMD:D_MiniMELF","https://datasheet.lcsc.com/szlcsc/Semtech-LL4148_C9808.pdf","","C9808","LL4148","","","","","","","","",""
D3 D4 D6 ,3,"YELLOW LED","LED_SMD:LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder","","","C72038","","","","","","","","","",""
D7 ,1,"D_Zener_Small","Diode_THT:D_5W_P10.16mm_Horizontal","~","","","1N5338BRLG","TRUE","","","","","","","",""
D8 ,1,"NUP2105LT1G","Package_TO_SOT_SMD:SOT-23","http://www.onsemi.com/pub_link/Collateral/NUP2105L-D.PDF","","C14486","","","","","","","","","",""
F1 ,1,"Fuse, 1.85A","Fuse:Fuse_2920_7451Metric","https://datasheet.lcsc.com/szlcsc/TLC-Electronic-TLC-LSMD185_C262041.pdf","0","C262041","TLC-LSMD185","","","","","","","","",""
J1 J4 J5 J7 J12 J14 ,6,"ScrewTerminal","ControllerCircuit:Terminal-Block_3.81_4P_LCSC_C395880","~","","C395880","","","","","","","","","",""
J10 ,1,"Conn_01x02_Female","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Horizontal","~","","C376120","","","","","","","","","",""
J11 ,1,"Conn_01x03_Female","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
J15 ,1,"Molex 0472192001","0472192001","https://www.molex.com/pdm_docs/sd/472192001_sd.pdf","","C164170","","","0472192001","https://www.arrow.com/en/products/0472192001/molex","Memory Card Connectors 1.10MM MICRO SD 08P HINGE TYPE","1.9","Molex","0472192001","N/A","https://www.mouser.com/Search/Refine.aspx?Keyword=N%2FA"
J2 J3 ,2,"ScrewTerminal3Pin","ControllerCircuit:Terminal-Block_5.0mm_3P-LCSC_C395850","~","","C395850","","","","","","","","","",""
J6 ,1,"AVR-ISP-6","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","https://lcsc.com/product-detail/Pin-Header-Female-Header_Boom-Precision-Elec-2-54mm-2-3P-Header_C65114.html","","","","TRUE","","","","","","","",""
J8 ,1,"2x3 2.54mm IDC Connectors","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","https://lcsc.com/product-detail/IDC-Connectors_Ckmtw-Shenzhen-Cankemeng-C132438_C132438.html","","C132438","","","","","","","","","",""
J9 ,1,"Conn_01x06_Female","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~","","","","TRUE","","","","","","","",""
JP1 JP4 ,2,"OptTermination","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~"
JP2 JP3 J13 ,3,"Conn_01x02_Female","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","","","","","TRUE","","","","","","","",""
JP5 ,1,"CANBUS Volt Select","Jumper:SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm","~"
Q1 Q2 ,2,"AO3400A","Package_TO_SOT_SMD:SOT-23","https://datasheet.lcsc.com/szlcsc/1812111733_Bourne-Semicon-Shenzhen-AO3400A_C344010.pdf","","C344010","AO3400A","","","","","","","","",""
Q3 ,1,"AO3401A","Package_TO_SOT_SMD:SOT-23","https://datasheet.lcsc.com/szlcsc/Alpha-Omega-Semicon-AOS-AO3401A_C15127.pdf","","C15127","","","","","","","","","",""
R10 R14 R18 R25 ,4,"220R","Resistor_SMD:R_0805_2012Metric","~","90","C17557","0805W8F2200T5E","","","","","","","","",""
R11 R15 R19 R20 R23 R24 ,6,"10K","Resistor_SMD:R_0805_2012Metric","~","0","C17414","0805W8F1002T5E","","","","","","","","",""
R12 R13 ,2,"560R","Resistor_SMD:R_0805_2012Metric","~","","C28636","0805W8F5600T5E","","","","","","","","",""
R3 R21 R22 ,3,"180R","Resistor_SMD:R_0805_2012Metric","~","","C25270","0805W8F1800T5E","","","","","","","","",""
