Designator,Mid X,Mid Y,Layer,Rotation
"C1",51.5190,26.6892,top,0.0000
"C2",69.6000,21.1000,top,0.0000
"C3",86.9692,70.1860,top,0.0000
"C4",89.4542,67.8360,top,0.0000
"C5",67.5000,16.5000,top,180.0000
"C6",58.6925,22.6600,top,0.0000
"C7",97.9410,16.1290,top,0.0000
"C8",73.4000,28.3000,top,0.0000
"C9",79.3000,25.2000,top,0.0000
"C10",98.9000,54.1500,top,0.0000
"C11",105.3070,16.1290,top,0.0000
"C12",46.4900,75.8000,top,0.0000
"C13",46.5400,73.5000,top,180.0000
"C14",46.5400,71.4000,top,180.0000
"D1",5.7000,15.8000,top,180.0000
"D2",115.3500,63.5700,top,90.0000
"D3",91.6000,85.8500,top,0.0000
"D4",72.7250,85.6000,top,0.0000
"D5",61.6750,59.3000,top,0.0000
"D8",79.0400,11.6400,top,90.0000
"F1",86.7500,75.7600,top,0.0000
"FID1",9.5000,84.1000,top,0.0000
"FID2",9.0000,6.5000,top,0.0000
"FID3",113.7500,6.5000,top,0.0000
"FID4",113.7500,81.0000,top,0.0000
"J1",16.1000,4.5000,top,0.0000
"J2",101.4750,83.5500,top,180.0000
"J3",62.3100,83.6000,top,180.0000
"J4",55.4857,4.4963,top,0.0000
"J5",82.9250,83.4000,top,180.0000
"J7",72.3090,4.5113,top,0.0000
"J8",43.2000,6.2500,top,-90.0000
"J9",46.2650,84.4700,top,180.0000
"J10",28.4000,8.8000,top,0.0000
"J12",20.8500,84.4700,top,180.0000
"J15",100.7000,44.4000,top,-90.0000
"K1",103.1650,68.7000,top,180.0000
"K2",64.0000,68.7500,top,180.0000
"LCD1",76.5500,35.6250,top,180.0000
"Q1",116.8000,70.6000,top,0.0000
"Q2",66.6750,57.8500,top,270.0000
"Q3",80.1000,74.0000,top,270.0000
"Q4",87.0200,18.6250,top,180.0000
"R1",12.4000,18.3250,top,0.0000
"R2",87.0000,14.5000,top,0.0000
"R3",92.3800,22.8800,top,180.0000
"R4",16.0000,16.7000,top,0.0000
"R5",7.3037,72.7750,top,180.0000
"R6",81.2000,17.2000,top,180.0000
"R7",101.3700,12.8270,top,0.0000
"R8",79.3000,68.9500,top,-90.0000
"R9",47.8400,15.6700,top,0.0000
"R10",117.9500,66.8500,top,-90.0000
"R11",117.8000,73.7000,top,0.0000
"R12",91.6000,83.4750,top,0.0000
"R13",72.3750,83.5250,top,0.0000
"R14",62.9750,57.0000,top,180.0000
"R15",69.7250,57.8300,top,-90.0000
"R16",3.6750,72.7750,top,0.0000
"R17",12.5000,14.6000,top,0.0000
"R18",27.2450,71.7000,top,0.0000
"R19",58.6725,20.5000,top,180.0000
"R20",87.0000,22.8800,top,0.0000
"R21",41.7000,33.5000,top,0.0000
"R22",94.0000,54.1800,top,0.0000
"R23",46.4900,77.8000,top,0.0000
"R24",14.0000,12.6000,top,180.0000
"R25",15.9450,74.1500,top,0.0000
"R26",97.9210,12.8270,top,0.0000
"R27",108.7360,12.8270,top,0.0000
"R28",105.2870,12.8270,top,0.0000
"R29",47.0000,34.9000,top,0.0000
"R30",50.0900,77.8000,top,0.0000
"R31",42.6350,72.9900,top,180.0000
"R32",39.1300,72.9800,top,180.0000
"RX1",84.5807,7.1504,top,0.0000
"SW1",97.6870,1.5240,top,90.0000
"SW2",105.2500,1.5240,top,90.0000
"TX1",91.5910,7.1504,top,0.0000
"U1",75.1000,24.9800,top,180.0000
"U2",92.3083,17.4195,top,270.0000
"U3",60.0000,14.5000,top,270.0000
"U4",16.2064,46.8100,top,0.0000
"U5",49.5850,21.7492,top,270.0000
"U6",88.0742,61.9710,top,90.0000
"U7",75.2000,19.9000,top,270.0000
"U8",40.6650,77.4350,top,270.0000
"U9",24.5250,74.8500,top,90.0000
"U12",13.2250,77.3000,top,90.0000
"e",15.0000,43.8000,bottom,-90.0000
