Comment,Designator,Footprint,LCSC, LCSC
"Current Sensor","C_SEN1","Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm",""
"COMMS","D1","LEDs:LED_D5.0mm",""
"Conn_01x02_Female","DEBUG1","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
"Input","J1,J2,J3,J4","Connectors_JST:JST_PH_S2B-PH-K_02x2.00mm_Angled",""
"Optional","J5","Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm",""
"Conn_01x06_Male","JRELAY1","Pin_Headers:Pin_Header_Straight_1x06_Pitch2.54mm",""
"470R","R1","Resistors_SMD:R_0805_HandSoldering","","C17710"
"4K7","R2,R4,R5","Resistors_SMD:R_0805_HandSoldering","","C17673"
"220R","R3","Resistors_SMD:R_0805_HandSoldering","","C17557"
"Receive","RX1","Connectors_JST:JST_PH_S2B-PH-K_02x2.00mm_Angled",""
"Transmit","TX1","Connectors_JST:JST_PH_S2B-PH-K_02x2.00mm_Angled",""
"WeMos_mini","U1","ESPControllerCircuit:wemos-d1-mini-with-pin-header",""
"EL3H7(B)(TA)-G","U2","Package_SO:SOP-4_4.4x2.6mm_P1.27mm","","C32565"
"PCF8574T/3,518","U3","SMD_Packages:SO-16-W","","C7605"
"WIFI RST","WIFI_RST1","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
