Quantity,Manufacture Part Number,Manufacturer,Description,LCSC Part Number,Package
1,S2B-PH-K-S(LF)(SN),JST Sales America,J1,C173752,JST_PH_S2B-PH-K_02x2.00mm_Angled
1,S2B-PH-K-S(LF)(SN),JST Sales America,RX1,C173752,JST_PH_S2B-PH-K_02x2.00mm_Angled
1,C124375,Shenzhen Cankemeng,DEBUG1,C124375,Pin_Header_Straight_1x02_Pitch2.54mm
1,S2B-PH-K-S(LF)(SN),JST Sales America,J2,C173752,JST_PH_S2B-PH-K_02x2.00mm_Angled
1,S2B-PH-K-S(LF)(SN),JST Sales America,J3,C173752,JST_PH_S2B-PH-K_02x2.00mm_Angled
1,S2B-PH-K-S(LF)(SN),JST Sales America,J4,C173752,JST_PH_S2B-PH-K_02x2.00mm_Angled
1,MTP125-1103S1,Mintron,J5,C358685,Pin_Header_Straight_1x03_Pitch2.54mm
1,C37208,Boom Precision Elec,JRELAY1,C37208,Pin_Header_Straight_1x06_Pitch2.54mm
1,C124416,Shenzhen CanKemeng,U1,C124416,wemos-d1-mini-with-pin-header
1,S2B-PH-K-S(LF)(SN),JST Sales America,TX1,C173752,JST_PH_S2B-PH-K_02x2.00mm_Angled
1,MTP125-1103S1,Mintron,C_SEN1,C358685,Pin_Header_Straight_1x03_Pitch2.54mm
1,LTL-293SJW,Lite-On,D1,C125079,LED_D5.0mm
