Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
ATTINY841,ATtiny841-SSU,SOIC-14_3.9x8.7mm_Pitch1.27mm,124.117600,-68.387600,270.000000,top
C1,100nF,C_0805,119.817600,-62.587600,0.000000,top
C2,1uF,C_0805,128.572360,-61.609720,0.000000,top
C3,10uF X5R,C_0603,107.617600,-72.887600,0.000000,top
D1,TL432G-A-AE3-R,SOT-23,124.717600,-58.787600,270.000000,top
D2,Blue,LED_0805,109.342600,-90.512600,0.000000,top
D3,Red,LED_0805,105.517600,-55.287600,0.000000,top
D4,Green,LED_0805,129.317600,-55.087600,0.000000,top
Q1,AO3400A,SOT-23,107.517600,-70.287600,270.000000,top
R1,10KOHMS,R_0603,114.917600,-61.587600,0.000000,top
R2,1KOHMS,R_0603,114.917600,-70.587600,0.000000,top
R3,68KOHMS,R_0603,114.917600,-66.087600,0.000000,top
R4,27KOHMS,R_0603,114.917600,-63.837600,0.000000,top
R5,220OHMS,R_0603,116.917600,-53.987600,0.000000,top
R6,6.2OHMS,R_1206,121.817600,-81.387600,0.000000,top
R7,6.2OHMS,R_1206,121.817600,-78.737600,0.000000,top
R8,6.2OHMS,R_1206,117.317600,-81.387600,0.000000,top
R9,6.2OHMS,R_1206,117.417600,-78.737600,0.000000,top
R10,6.2OHMS,R_1206,110.717600,-81.387600,0.000000,top
R11,6.2OHMS,R_1206,110.717600,-78.737600,0.000000,top
R12,6.2OHMS,R_1206,106.217600,-81.387600,0.000000,top
R13,6.2OHMS,R_1206,106.217600,-78.737600,0.000000,top
R14,510OHMS,R_0603,111.217600,-72.887600,0.000000,top
R15,47KOHMS,R_0603,111.217600,-70.887600,0.000000,top
R16,4.7KOHMS,R_0603,116.917600,-49.787600,0.000000,top
R17,2.2KOHMS,R_0603,116.917600,-51.887600,0.000000,top
R18,2.2KOHMS,R_0603,128.617600,-57.187600,0.000000,top
R19,NTC THERMISTOR 47KOHMS 4050K,R_0402,114.017600,-82.587600,90.000000,top
R20,47KOHMS,R_0603,114.917600,-68.487600,0.000000,top
R21,47KOHMS,R_0603,130.217600,-76.287600,0.000000,top
R22,6.2OHMS,R_1206,121.817600,-86.687600,0.000000,top
R23,1.8KOHMS,R_0603,109.342600,-92.312600,0.000000,top
R24,6.2OHMS,R_1206,121.817600,-84.037600,0.000000,top
R25,6.2OHMS,R_1206,117.317600,-86.687600,0.000000,top
R26,6.2OHMS,R_1206,117.317600,-84.037600,0.000000,top
R27,6.2OHMS,R_1206,110.717600,-86.687600,0.000000,top
R28,6.2OHMS,R_1206,110.717600,-84.037600,0.000000,top
R29,6.2OHMS,R_1206,106.217600,-86.687600,0.000000,top
R30,6.2OHMS,R_1206,106.217600,-84.037600,0.000000,top
R31,6.2OHMS,R_1206,121.817600,-76.087600,0.000000,top
R32,6.2OHMS,R_1206,117.417600,-76.087600,0.000000,top
R33,6.2OHMS,R_1206,110.717600,-76.087600,0.000000,top
R34,6.2OHMS,R_1206,106.217600,-76.087600,0.000000,top
U1,EL3H7(B)(TA)-G,SOP-4_4.4x2.8mm_Pitch1.27mm,117.017600,-58.387600,0.000000,top
