Designator,Mid X,Mid Y,Layer,Rotation
"ATTINY841",122.8676,-67.7376,top,270.0000
"C1",124.6276,-60.7976,top,0.0000
"C2",129.8626,-64.8376,top,0.0000
"C4",124.6426,-58.5626,top,0.0000
"C5",114.2626,-61.2276,top,180.0000
"D1",129.3776,-56.9276,top,270.0000
"D2",124.4676,-97.3876,top,0.0000
"D3",113.1176,-96.3026,top,0.0000
"D4",104.6926,-59.8876,top,0.0000
"F1",129.5676,-105.6876,top,270.0000
"Q1",105.0926,-94.7876,top,270.0000
"R1",113.4676,-66.1276,top,0.0000
"R2",129.3376,-59.8776,top,0.0000
"R3",113.4926,-68.6126,top,0.0000
"R4",113.4926,-71.0126,top,0.0000
"R5",114.2426,-57.8376,top,0.0000
"R6",107.5676,-89.1876,top,180.0000
"R8",107.5676,-83.6126,top,0.0000
"R12",107.5676,-78.0376,top,180.0000
"R14",129.8426,-68.2626,top,0.0000
"R15",105.1176,-97.8876,top,0.0000
"R16",104.6676,-55.6876,top,180.0000
"R17",109.4676,-96.2576,top,0.0000
"R18",104.6676,-57.7126,top,180.0000
"R19",114.7176,-80.8376,top,180.0000
"R20",129.8426,-70.6626,top,0.0000
"R21",129.8426,-73.0626,top,0.0000
"R22",114.6426,-89.1876,top,0.0000
"R23",105.7876,-105.0576,top,90.0000
"R24",121.7176,-89.1876,top,180.0000
"R25",114.6176,-83.6126,top,180.0000
"R26",121.6676,-83.6126,top,0.0000
"R29",114.6176,-78.0376,top,0.0000
"R30",121.6676,-78.0876,top,180.0000
"U1",116.9426,-52.3876,top,90.0000
"Y1",119.3376,-59.7426,top,0.0000
