Ref,Val,Package,PosX,PosY,Rot,Side
"ATTINY841","ATtiny841-SSU","SOIC-14_3.9x8.7mm_P1.27mm",122.8676,-67.7376,0.0000,top
"C1","100nF","C_0805_2012Metric",124.6276,-60.7976,0.0000,top
"C2","1uF","C_0805_2012Metric",129.8626,-64.8376,0.0000,top
"C4","22pF","C_0805_2012Metric",124.6426,-58.5626,0.0000,top
"C5","22pF","C_0805_2012Metric",114.2626,-61.2276,180.0000,top
"D1","AZ432ANTR-E1","SOT-23",129.3776,-56.9276,90.0000,top
"D2","SMBJ5.0A","D_SMB",124.4676,-97.3876,180.0000,top
"D3","Red","LED_0805_2012Metric",113.1176,-96.3026,0.0000,top
"D4","Blue","LED_0805_2012Metric",104.6926,-59.8876,0.0000,top
"F1","mSMD150","Fuse_1812_4532Metric",129.5676,-105.6876,270.0000,top
"Q1","AO3400A","SOT-23",105.0926,-94.7876,90.0000,top
"R1","10KOHMS","R_0805_2012Metric",113.4676,-66.1276,0.0000,top
"R2","1KOHMS","R_0805_2012Metric",129.3376,-59.8776,0.0000,top
"R3","6.8K","R_0805_2012Metric",113.4926,-68.6126,0.0000,top
"R4","2.7K","R_0805_2012Metric",113.4926,-71.0126,0.0000,top
"R5","220 OHMS","R_0805_2012Metric",114.2426,-57.8376,0.0000,top
"R6","3.3OHM 3/4W","R_2010_5025Metric",107.5676,-89.1876,180.0000,top
"R8","3.3OHM 3/4W","R_2010_5025Metric",107.5676,-83.6126,0.0000,top
"R12","3.3OHM 3/4W","R_2010_5025Metric",107.5676,-78.0376,180.0000,top
"R14","510OHMS","R_0805_2012Metric",129.8426,-68.2626,0.0000,top
"R15","10KOHMS","R_0805_2012Metric",105.1176,-97.8876,0.0000,top
"R16","2.2KOHMS","R_0805_2012Metric",104.6676,-55.6876,180.0000,top
"R17","2.2KOHMS","R_0805_2012Metric",109.4676,-96.2576,0.0000,top
"R18","2.2KOHMS","R_0805_2012Metric",104.6676,-57.7126,180.0000,top
"R19","CMFB103F3950FANT","R_0805_2012Metric",114.7176,-80.8376,180.0000,top
"R20","10KOHMS","R_0805_2012Metric",129.8426,-70.6626,0.0000,top
"R21","10KOHMS","R_0805_2012Metric",129.8426,-73.0626,0.0000,top
"R22","3.3OHM 3/4W","R_2010_5025Metric",114.6426,-89.1876,0.0000,top
"R23","CMFB103F3950FANT","R_0805_2012Metric",105.7876,-105.0576,90.0000,top
"R24","3.3OHM 3/4W","R_2010_5025Metric",121.7176,-89.1876,180.0000,top
"R25","3.3OHM 3/4W","R_2010_5025Metric",114.6176,-83.6126,180.0000,top
"R26","3.3OHM 3/4W","R_2010_5025Metric",121.6676,-83.6126,0.0000,top
"R29","3.3OHM 3/4W","R_2010_5025Metric",114.6176,-78.0376,0.0000,top
"R30","3.3OHM 3/4W","R_2010_5025Metric",121.6676,-78.0876,180.0000,top
"U1","EL3H7(B)(TA)-G","SOP-4_4.4x2.6mm_P1.27mm",116.9426,-52.3876,90.0000,top
"Y1","8MHZ Ceramic Resonator","Crystal_SMD_5032-2pin_5.0x3.2mm",119.3376,-59.7426,0.0000,top
