Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet,LCSCStockCode,PartNumber,JLCPCBRotation
1,Unpolarized capacitor,C,C1,100nF,C_0805_2012Metric,1, ,,C1525,CL05B104KO5NNNC,
2,Unpolarized capacitor,C,C2,10uF,C_0805_2012Metric,1, ,,C15850,CL21A106KAYNNNE,
3,"Adjustable Micropower Voltage Reference Diodes, TO-92",LM385Z-ADJ,D1,AZ432ANTR-E1,SOT-23,1, ,https://datasheet.lcsc.com/szlcsc/Diodes-Incorporated-AZ432ANTR-E1_C84139.pdf,C84139,AZ432ANTR-E1,
4,Light emitting diode,LED,D4,Blue,LED_0603_1608Metric,1, ,https://datasheet.lcsc.com/lcsc/1811101510_Everlight-Elec-19-217-GHC-YR1S2-3T_C72043.pdf,C72043,19-217/GHC-YR1S2/3T,
5,Light emitting diode,LED,D3,Red,LED_0805_2012Metric,1, ,,C84256,NCD0805R1,
6,"600W unidirectional Transil Transient Voltage Suppressor, 6.8Vrwm, DO-214AA",SM6T6V8A,D2,SMBJ5.0A,D_SMB,1, ,https://datasheet.lcsc.com/szlcsc/1912111437_AnBon-SMBJ5-0A_C440263.pdf,C440263,,
7,"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x02_Male,EXTTEMP1 POWER1 RX1 TX1,Ext Temp Sensor,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,4, ,https://datasheet.lcsc.com/szlcsc/JST-Sales-America-S2B-PH-K-S-LF-SN_C173752.pdf,C265016,S2B-PH-K(LF)(SN),
8,"Resettable fuse, polymeric positive temperature coefficient, small symbol",Polyfuse_Small,F1,mSMD150,Fuse_1812_4532Metric,1, ,https://datasheet.lcsc.com/szlcsc/TECHFUSE-mSMD150_C70121.pdf,C70121,mSMD150,
9,"Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x04_Male,J2,Comms,"PhoenixContact_MC_1,5_4-G-3.81_1x04_P3.81mm_Horizontal",1, ,,C265016,,
10,"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x02_Male,J1,J,PinSocket_1x02_P2.54mm_Vertical,1, ,,,,
11,"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x02_Male,POWER2,Battery,"PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal",1, ,,C265016,S2B-PH-K(LF)(SN),
12,"N-MOSFET transistor, gate/source/drain",Q_NMOS_GSD,Q1,AO3400A,SOT-23,1, ,https://datasheet.lcsc.com/szlcsc/Alpha-Omega-Semicon-AOS-AO3400A_C20917.pdf,C347475,AO3400A,
13,Resistor,R,R6 R8 R10 R22 R24 R25 R26 R27 R28,3R,R_2010_5025Metric,9, ,,C474300,201007J030JT4E,
14,Resistor,R,R5,180R,R_0805_2012Metric,1, ,,C25270,0805W8F1800T5E,
15,Resistor,R,R14,510OHMS,R_0805_2012Metric,1, ,,C17734,0805W8F5100T5E,
16,Resistor,R,R2,1KOHMS,R_0805_2012Metric,1, ,,C17513,0805W8F1001T5E,
17,Resistor,R,R16 R17 R18,2K2,R_0805_2012Metric,3, ,,C17520,0805W8F2201T5E,
18,Resistor,R,R15 R20 R21,10KOHMS,R_0805_2012Metric,3, ,,C17414,0805W8F1002T5E,
19,Resistor,R,R1,100K,R_0805_2012Metric,1, ,,C149504,0805W8F1003T5E,
20,Temperature dependent resistor,Thermistor,R19 R23,CMFB103F3950FANT,R_0805_2012Metric,2, ,https://datasheet.lcsc.com/szlcsc/Guangdong-Fenghua-Advanced-Tech-CMFB103F3950FANT_C51597.pdf,C51597,CMFB103F3950FANT,
21,"20MHz, 16kB Flash, 2kB SRAM, 256B EEPROM, SOIC-14",ATtiny1614-SS,U2,ATTINY1624-SSU-ND,SOIC-14_3.9x8.7mm_P1.27mm,1, ,http://ww1.microchip.com/downloads/en/DeviceDoc/ATtiny1614-data-sheet-40001995A.pdf,C3237666,ATTINY1624-SSU-ND,
22,"DC Optocoupler, Vce 35V, CTR 50-300%, DIP-4",PC817,U1,EL3H7(B)(TA)-G,SOP-4_4.4x2.6mm_P1.27mm,1, ,https://datasheet.lcsc.com/szlcsc/Everlight-Elec-EL3H7-B-TA-G_C32565.pdf,C32565,EL3H7(B)(TA)-G,90
23,"Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x03_Female,UPDI1,UPDI,PinSocket_1x03_P2.54mm_Vertical,1, ,~,,,
