Designator,Mid X,Mid Y,Layer,Rotation
"C1",171.3000,-125.3000,top,90.0000
"C2",170.7388,-136.6012,top,-90.0000
"C3",172.1866,-131.6736,top,90.0000
"C4",174.8000,-142.0000,top,-90.0000
"C5",173.4058,-135.8392,top,-90.0000
"C6",178.0540,-142.2908,top,-90.0000
"C7",180.9496,-142.2400,top,-90.0000
"C8",183.9468,-142.2000,top,-90.0000
"C9",187.1000,-142.2000,top,-90.0000
"C10",192.5066,-137.9982,top,0.0000
"C11",192.4812,-135.6614,top,0.0000
"C12",192.5066,-132.4610,top,0.0000
"C13",192.5066,-130.2258,top,0.0000
"C14",192.5066,-128.1176,top,0.0000
"C15",190.5000,-120.4000,top,-90.0000
"C16",188.4000,-120.4000,top,90.0000
"C17",184.8000,-120.4000,top,90.0000
"C18",181.4000,-120.5000,top,90.0000
"C19",178.8000,-120.4000,top,90.0000
"C20",160.5000,-73.5000,top,180.0000
"C21",160.2134,-119.2624,top,-90.0000
"C22",162.0520,-119.5324,top,-90.0000
"C23",166.0398,-116.2558,top,0.0000
"C24",161.8234,-112.0902,top,90.0000
"C25",169.2402,-116.6622,top,90.0000
"C27",169.7000,-112.2000,top,90.0000
"C28",165.5000,-86.2000,top,0.0000
"C29",165.4000,-98.3000,top,0.0000
"C30",165.3500,-88.0612,top,0.0000
"C31",165.3500,-93.7000,top,180.0000
"C32",169.6000,-89.6000,top,180.0000
"C33",169.6000,-86.8000,top,180.0000
"C34",165.6166,-100.9000,top,0.0000
"C35",165.2000,-96.4000,top,0.0000
"C43",168.7000,-81.2000,top,180.0000
"C44",182.2000,-66.2000,top,180.0000
"C45",160.3000,-83.3000,top,180.0000
"C46",190.5000,-78.8000,top,-90.0000
"C47",196.1000,-78.9000,top,90.0000
"C48",161.4932,-126.6190,top,-90.0000
"C49",167.1066,-126.5936,top,90.0000
"C50",181.3000,-80.9000,top,180.0000
"C51",185.8748,-82.1000,top,-90.0000
"C52",172.5000,-74.9000,top,0.0000
"D1",165.8366,-136.7500,top,-90.0000
"D2",163.4490,-136.7500,top,-90.0000
"D19",202.9000,-65.4000,top,180.0000
"D20",151.0000,-66.7000,top,180.0000
"D21",182.0000,-72.4000,top,90.0000
"L1",189.4000,-69.8000,top,90.0000
"Q1",193.1640,-93.6356,top,180.0000
"R1",171.7294,-141.3256,top,180.0000
"R2",149.4000,-82.9564,top,180.0000
"R3",149.3000,-86.7664,top,180.0000
"R4",149.4000,-90.5764,top,180.0000
"R5",149.4000,-94.4000,top,180.0000
"R6",149.4000,-98.3996,top,180.0000
"R7",149.4000,-101.8000,top,180.0000
"R8",149.4000,-105.8418,top,180.0000
"R9",149.5000,-109.6772,top,180.0000
"R10",149.5000,-113.4364,top,180.0000
"R11",149.4000,-117.2464,top,180.0000
"R12",149.4000,-121.1580,top,180.0000
"R13",149.4000,-124.8918,top,180.0000
"R14",149.4000,-128.7000,top,180.0000
"R15",149.4000,-132.5000,top,180.0000
"R16",149.4000,-136.5000,top,180.0000
"R17",171.7294,-142.9004,top,180.0000
"R20",189.5318,-94.2808,top,0.0000
"R21",189.5245,-92.7000,top,0.0000
"R52",162.8000,-109.5000,top,180.0000
"R69",158.7500,-129.7500,top,180.0000
"R70",158.8000,-132.4000,top,180.0000
"R73",173.2000,-86.8000,top,180.0000
"R74",183.0000,-106.6500,top,0.0000
"R75",173.2000,-89.6000,top,180.0000
"R76",182.2000,-64.6000,top,180.0000
"R77",176.3000,-65.1000,top,180.0000
"R78",193.3000,-103.6000,top,0.0000
"R79",193.2000,-100.5000,top,0.0000
"R80",182.4000,-95.3000,top,0.0000
"R82",186.2500,-88.7500,top,0.0000
"R83",190.2500,-88.7500,top,180.0000
"R84",201.0664,-120.4650,top,90.0000
"R85",201.0664,-126.3832,top,-90.0000
"R86",201.0918,-133.3994,top,-90.0000
"R87",198.1000,-77.7000,top,90.0000
"TH6",186.3000,-106.4500,top,180.0000
"U1",182.7530,-131.3180,top,270.0000
"U2",169.9000,-107.5000,top,270.0000
"U3",166.8526,-120.2182,top,0.0000
"U4",199.4000,-72.2000,top,90.0000
"U5",173.4820,-96.0000,top,270.0000
"U9",193.3000,-78.6000,top,270.0000
"U10",175.0000,-70.5500,top,90.0000
"U11",182.3000,-83.7500,top,180.0000
"U12",164.2618,-126.9238,top,270.0000
"U13",193.2500,-108.7500,top,270.0000
"Y1",164.9690,-90.8806,top,0.0000
