Designator,Mid X,Mid Y,Layer,Rotation
"C0",146.7103,-89.8924,top,0.0000
"C1",146.7103,-92.4324,top,0.0000
"C2",146.7103,-94.9724,top,0.0000
"C3",146.7103,-97.5124,top,0.0000
"C4",146.7103,-100.0524,top,0.0000
"C5",146.7103,-102.5924,top,0.0000
"C6",146.7103,-105.1324,top,0.0000
"C7",146.7103,-107.6724,top,0.0000
"C8",146.7103,-110.2124,top,0.0000
"C9",146.7103,-112.7524,top,0.0000
"C10",146.7103,-115.2924,top,0.0000
"C11",146.7103,-117.8324,top,0.0000
"C12",146.7103,-120.3724,top,0.0000
"C13",146.7103,-122.9124,top,0.0000
"C14",146.7103,-125.4524,top,0.0000
"C15",146.7103,-127.9924,top,0.0000
"Q1",193.1937,-138.0000,top,0.0000
"Q2",193.1937,-134.3000,top,0.0000
"Q3",193.1937,-130.1000,top,0.0000
"Q4",193.1937,-126.0000,top,0.0000
"Q5",193.2000,-121.8000,top,0.0000
"Q6",193.1937,-117.8000,top,0.0000
"Q7",193.1937,-113.5000,top,0.0000
"Q8",193.1937,-108.6000,top,0.0000
"Q9",193.2000,-104.5000,top,0.0000
"Q10",193.1937,-99.6000,top,0.0000
"Q11",193.1937,-95.2000,top,0.0000
"Q12",193.2000,-91.2000,top,0.0000
"Q13",193.1937,-86.8400,top,0.0000
"Q14",193.1838,-83.0200,top,0.0000
"Q15",193.1838,-79.4000,top,0.0000
"Q16",193.1337,-75.5900,top,0.0000
"Q17",200.9000,-85.7500,top,270.0000
"R20",201.0000,-136.9600,top,0.0000
"R21",201.0000,-134.4200,top,180.0000
"R22",201.0000,-131.8800,top,180.0000
"R23",201.0000,-129.3400,top,180.0000
"R24",201.0000,-126.8000,top,180.0000
"R25",201.0000,-124.2600,top,180.0000
"R26",183.0000,-138.9000,top,180.0000
"R27",165.5000,-136.1000,top,180.0000
"R28",180.4938,-130.4000,top,180.0000
"R29",166.0938,-127.6000,top,180.0000
"R30",180.4938,-121.9000,top,180.0000
"R31",166.0938,-119.1000,top,180.0000
"R32",201.0000,-121.7000,top,180.0000
"R33",201.0000,-119.1800,top,180.0000
"R34",201.0000,-116.6400,top,180.0000
"R35",201.0000,-114.1000,top,180.0000
"R36",201.0000,-111.5600,top,180.0000
"R37",201.0000,-109.0200,top,180.0000
"R38",180.4938,-113.4000,top,180.0000
"R39",166.0938,-110.6000,top,180.0000
"R40",180.4938,-104.9000,top,180.0000
"R41",166.0938,-102.1000,top,180.0000
"R42",180.4938,-96.4000,top,180.0000
"R43",166.0938,-93.6000,top,180.0000
"R44",201.0000,-106.4800,top,180.0000
"R45",201.0000,-103.9400,top,0.0000
"R46",201.0000,-101.3000,top,0.0000
"R47",201.0000,-98.7000,top,0.0000
"R48",180.4938,-87.9000,top,180.0000
"R49",166.0938,-85.1000,top,180.0000
"R50",182.7500,-80.3000,top,180.0000
"R51",164.2500,-78.2500,top,180.0000
"R53",149.8801,-89.8924,top,180.0000
"R54",149.8801,-92.4324,top,180.0000
"R55",149.8801,-94.9724,top,180.0000
"R56",149.8801,-97.5124,top,180.0000
"R57",149.8801,-100.0524,top,180.0000
"R58",149.8801,-102.5924,top,180.0000
"R59",149.8801,-105.1324,top,180.0000
"R60",149.8801,-107.6724,top,180.0000
"R61",149.8801,-110.2124,top,180.0000
"R62",149.8801,-112.7524,top,180.0000
"R63",149.8801,-115.2924,top,180.0000
"R64",149.8801,-117.8324,top,180.0000
"R65",149.8801,-120.3724,top,180.0000
"R66",149.8801,-122.9124,top,180.0000
"R67",149.8801,-125.4524,top,180.0000
"R68",149.8801,-127.9924,top,180.0000
"TH1",164.4938,-99.0000,top,0.0000
"TH2",179.1937,-125.2000,top,0.0000
