Ref,Val,Package,PosX,PosY,Rot,Side
"J1","S2B-PH-K(LF)(SN)","JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal",83.250000,-55.497513,0.000000,top
"J1","S2B-PH-K(LF)(SN)","JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal",64.250000,-55.497513,0.000000,top
"J1","S2B-PH-K(LF)(SN)","JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal",102.250000,-22.747513,0.000000,top
"J1","S2B-PH-K(LF)(SN)","JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal",64.250000,-22.747513,0.000000,top
"J1","S2B-PH-K(LF)(SN)","JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal",7.250000,-22.747513,0.000000,top
"J1","S2B-PH-K(LF)(SN)","JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal",45.250000,-22.747513,0.000000,top
"J1","S2B-PH-K(LF)(SN)","JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal",26.250000,-22.747513,0.000000,top
"J1","S2B-PH-K(LF)(SN)","JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal",83.250000,-22.747513,0.000000,top
"J1","S2B-PH-K(LF)(SN)","JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal",26.250000,-55.497513,0.000000,top
"J1","S2B-PH-K(LF)(SN)","JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal",7.250000,-55.497513,0.000000,top
"J1","S2B-PH-K(LF)(SN)","JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal",102.250000,-55.497513,0.000000,top
"J1","S2B-PH-K(LF)(SN)","JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal",45.250000,-55.497513,0.000000,top
"KiKit_MB_1_1","NPTH","NPTH",16.000000,-19.373757,0.000000,top
"KiKit_MB_1_2","NPTH","NPTH",16.000000,-20.373757,0.000000,top
"KiKit_MB_1_3","NPTH","NPTH",16.000000,-21.373756,0.000000,top
"KiKit_MB_1_4","NPTH","NPTH",16.000000,-22.373756,0.000000,top
"KiKit_MB_2_1","NPTH","NPTH",6.500000,-6.141453,0.000000,top
"KiKit_MB_2_2","NPTH","NPTH",7.497320,-6.015134,0.000000,top
"KiKit_MB_2_3","NPTH","NPTH",8.502680,-6.015134,0.000000,top
"KiKit_MB_2_4","NPTH","NPTH",9.499999,-6.141453,0.000000,top
"KiKit_MB_3_1","NPTH","NPTH",9.500000,-35.747513,0.000000,top
"KiKit_MB_3_2","NPTH","NPTH",8.500000,-35.747513,0.000000,top
"KiKit_MB_3_3","NPTH","NPTH",7.500000,-35.747513,0.000000,top
"KiKit_MB_3_4","NPTH","NPTH",6.500000,-35.747513,0.000000,top
"KiKit_MB_4_1","NPTH","NPTH",19.000000,-22.373756,0.000000,top
"KiKit_MB_4_2","NPTH","NPTH",19.000000,-21.373756,0.000000,top
"KiKit_MB_4_3","NPTH","NPTH",19.000000,-20.373757,0.000000,top
"KiKit_MB_4_4","NPTH","NPTH",19.000000,-19.373757,0.000000,top
"KiKit_MB_5_1","NPTH","NPTH",35.000000,-19.373757,0.000000,top
"KiKit_MB_5_2","NPTH","NPTH",35.000000,-20.373757,0.000000,top
"KiKit_MB_5_3","NPTH","NPTH",35.000000,-21.373756,0.000000,top
"KiKit_MB_5_4","NPTH","NPTH",35.000000,-22.373756,0.000000,top
"KiKit_MB_6_1","NPTH","NPTH",25.500000,-6.141453,0.000000,top
"KiKit_MB_6_2","NPTH","NPTH",26.497319,-6.015134,0.000000,top
"KiKit_MB_6_3","NPTH","NPTH",27.502680,-6.015134,0.000000,top
"KiKit_MB_6_4","NPTH","NPTH",28.500000,-6.141453,0.000000,top
"KiKit_MB_7_1","NPTH","NPTH",28.500000,-35.747513,0.000000,top
"KiKit_MB_7_2","NPTH","NPTH",27.500000,-35.747513,0.000000,top
"KiKit_MB_7_3","NPTH","NPTH",26.500000,-35.747513,0.000000,top
"KiKit_MB_7_4","NPTH","NPTH",25.500000,-35.747513,0.000000,top
"KiKit_MB_8_1","NPTH","NPTH",38.000000,-22.373756,0.000000,top
"KiKit_MB_8_2","NPTH","NPTH",38.000000,-21.373756,0.000000,top
"KiKit_MB_8_3","NPTH","NPTH",38.000000,-20.373757,0.000000,top
"KiKit_MB_8_4","NPTH","NPTH",38.000000,-19.373757,0.000000,top
"KiKit_MB_9_1","NPTH","NPTH",54.000000,-19.373757,0.000000,top
"KiKit_MB_9_2","NPTH","NPTH",54.000000,-20.373757,0.000000,top
"KiKit_MB_9_3","NPTH","NPTH",54.000000,-21.373756,0.000000,top
"KiKit_MB_9_4","NPTH","NPTH",54.000000,-22.373756,0.000000,top
"KiKit_MB_10_1","NPTH","NPTH",44.500000,-6.141453,0.000000,top
"KiKit_MB_10_2","NPTH","NPTH",45.497319,-6.015134,0.000000,top
"KiKit_MB_10_3","NPTH","NPTH",46.502680,-6.015134,0.000000,top
"KiKit_MB_10_4","NPTH","NPTH",47.500000,-6.141453,0.000000,top
"KiKit_MB_11_1","NPTH","NPTH",47.500000,-35.747513,0.000000,top
"KiKit_MB_11_2","NPTH","NPTH",46.500000,-35.747513,0.000000,top
"KiKit_MB_11_3","NPTH","NPTH",45.500000,-35.747513,0.000000,top
"KiKit_MB_11_4","NPTH","NPTH",44.500000,-35.747513,0.000000,top
"KiKit_MB_12_1","NPTH","NPTH",57.000000,-22.373756,0.000000,top
"KiKit_MB_12_2","NPTH","NPTH",57.000000,-21.373756,0.000000,top
"KiKit_MB_12_3","NPTH","NPTH",57.000000,-20.373757,0.000000,top
"KiKit_MB_12_4","NPTH","NPTH",57.000000,-19.373757,0.000000,top
"KiKit_MB_13_1","NPTH","NPTH",73.000000,-19.373757,0.000000,top
"KiKit_MB_13_2","NPTH","NPTH",73.000000,-20.373757,0.000000,top
"KiKit_MB_13_3","NPTH","NPTH",73.000000,-21.373756,0.000000,top
"KiKit_MB_13_4","NPTH","NPTH",73.000000,-22.373756,0.000000,top
"KiKit_MB_14_1","NPTH","NPTH",63.500000,-6.141453,0.000000,top
"KiKit_MB_14_2","NPTH","NPTH",64.497319,-6.015134,0.000000,top
"KiKit_MB_14_3","NPTH","NPTH",65.502680,-6.015134,0.000000,top
"KiKit_MB_14_4","NPTH","NPTH",66.500000,-6.141453,0.000000,top
"KiKit_MB_15_1","NPTH","NPTH",66.500000,-35.747513,0.000000,top
"KiKit_MB_15_2","NPTH","NPTH",65.500000,-35.747513,0.000000,top
"KiKit_MB_15_3","NPTH","NPTH",64.500000,-35.747513,0.000000,top
"KiKit_MB_15_4","NPTH","NPTH",63.500000,-35.747513,0.000000,top
"KiKit_MB_16_1","NPTH","NPTH",76.000000,-22.373756,0.000000,top
"KiKit_MB_16_2","NPTH","NPTH",76.000000,-21.373756,0.000000,top
"KiKit_MB_16_3","NPTH","NPTH",76.000000,-20.373757,0.000000,top
"KiKit_MB_16_4","NPTH","NPTH",76.000000,-19.373757,0.000000,top
"KiKit_MB_17_1","NPTH","NPTH",92.000000,-19.373757,0.000000,top
"KiKit_MB_17_2","NPTH","NPTH",92.000000,-20.373757,0.000000,top
"KiKit_MB_17_3","NPTH","NPTH",92.000000,-21.373756,0.000000,top
"KiKit_MB_17_4","NPTH","NPTH",92.000000,-22.373756,0.000000,top
"KiKit_MB_18_1","NPTH","NPTH",82.500000,-6.141453,0.000000,top
"KiKit_MB_18_2","NPTH","NPTH",83.497319,-6.015134,0.000000,top
"KiKit_MB_18_3","NPTH","NPTH",84.502680,-6.015134,0.000000,top
"KiKit_MB_18_4","NPTH","NPTH",85.500000,-6.141453,0.000000,top
"KiKit_MB_19_1","NPTH","NPTH",85.500000,-35.747513,0.000000,top
"KiKit_MB_19_2","NPTH","NPTH",84.500000,-35.747513,0.000000,top
"KiKit_MB_19_3","NPTH","NPTH",83.500000,-35.747513,0.000000,top
"KiKit_MB_19_4","NPTH","NPTH",82.500000,-35.747513,0.000000,top
"KiKit_MB_20_1","NPTH","NPTH",95.000000,-22.373756,0.000000,top
"KiKit_MB_20_2","NPTH","NPTH",95.000000,-21.373756,0.000000,top
"KiKit_MB_20_3","NPTH","NPTH",95.000000,-20.373757,0.000000,top
"KiKit_MB_20_4","NPTH","NPTH",95.000000,-19.373757,0.000000,top
"KiKit_MB_21_1","NPTH","NPTH",101.500000,-6.141453,0.000000,top
"KiKit_MB_21_2","NPTH","NPTH",102.497319,-6.015134,0.000000,top
"KiKit_MB_21_3","NPTH","NPTH",103.502680,-6.015134,0.000000,top
"KiKit_MB_21_4","NPTH","NPTH",104.500000,-6.141453,0.000000,top
"KiKit_MB_22_1","NPTH","NPTH",104.500000,-35.747513,0.000000,top
"KiKit_MB_22_2","NPTH","NPTH",103.500000,-35.747513,0.000000,top
"KiKit_MB_22_3","NPTH","NPTH",102.500000,-35.747513,0.000000,top
"KiKit_MB_22_4","NPTH","NPTH",101.500000,-35.747513,0.000000,top
"KiKit_MB_23_1","NPTH","NPTH",16.000000,-52.123756,0.000000,top
"KiKit_MB_23_2","NPTH","NPTH",16.000000,-53.123756,0.000000,top
"KiKit_MB_23_3","NPTH","NPTH",16.000000,-54.123756,0.000000,top
"KiKit_MB_23_4","NPTH","NPTH",16.000000,-55.123756,0.000000,top
"KiKit_MB_24_1","NPTH","NPTH",6.500000,-38.891452,0.000000,top
"KiKit_MB_24_2","NPTH","NPTH",7.497320,-38.765133,0.000000,top
"KiKit_MB_24_3","NPTH","NPTH",8.502680,-38.765133,0.000000,top
"KiKit_MB_24_4","NPTH","NPTH",9.499999,-38.891452,0.000000,top
"KiKit_MB_25_1","NPTH","NPTH",9.500000,-68.497513,0.000000,top
"KiKit_MB_25_2","NPTH","NPTH",8.500000,-68.497513,0.000000,top
"KiKit_MB_25_3","NPTH","NPTH",7.500000,-68.497513,0.000000,top
"KiKit_MB_25_4","NPTH","NPTH",6.500000,-68.497513,0.000000,top
"KiKit_MB_26_1","NPTH","NPTH",19.000000,-55.123756,0.000000,top
"KiKit_MB_26_2","NPTH","NPTH",19.000000,-54.123756,0.000000,top
"KiKit_MB_26_3","NPTH","NPTH",19.000000,-53.123756,0.000000,top
"KiKit_MB_26_4","NPTH","NPTH",19.000000,-52.123756,0.000000,top
"KiKit_MB_27_1","NPTH","NPTH",35.000000,-52.123756,0.000000,top
"KiKit_MB_27_2","NPTH","NPTH",35.000000,-53.123756,0.000000,top
"KiKit_MB_27_3","NPTH","NPTH",35.000000,-54.123756,0.000000,top
"KiKit_MB_27_4","NPTH","NPTH",35.000000,-55.123756,0.000000,top
"KiKit_MB_28_1","NPTH","NPTH",25.500000,-38.891452,0.000000,top
"KiKit_MB_28_2","NPTH","NPTH",26.497319,-38.765133,0.000000,top
"KiKit_MB_28_3","NPTH","NPTH",27.502680,-38.765133,0.000000,top
"KiKit_MB_28_4","NPTH","NPTH",28.500000,-38.891452,0.000000,top
"KiKit_MB_29_1","NPTH","NPTH",28.500000,-68.497513,0.000000,top
"KiKit_MB_29_2","NPTH","NPTH",27.500000,-68.497513,0.000000,top
"KiKit_MB_29_3","NPTH","NPTH",26.500000,-68.497513,0.000000,top
"KiKit_MB_29_4","NPTH","NPTH",25.500000,-68.497513,0.000000,top
"KiKit_MB_30_1","NPTH","NPTH",38.000000,-55.123756,0.000000,top
"KiKit_MB_30_2","NPTH","NPTH",38.000000,-54.123756,0.000000,top
"KiKit_MB_30_3","NPTH","NPTH",38.000000,-53.123756,0.000000,top
"KiKit_MB_30_4","NPTH","NPTH",38.000000,-52.123756,0.000000,top
"KiKit_MB_31_1","NPTH","NPTH",54.000000,-52.123756,0.000000,top
"KiKit_MB_31_2","NPTH","NPTH",54.000000,-53.123756,0.000000,top
"KiKit_MB_31_3","NPTH","NPTH",54.000000,-54.123756,0.000000,top
"KiKit_MB_31_4","NPTH","NPTH",54.000000,-55.123756,0.000000,top
"KiKit_MB_32_1","NPTH","NPTH",44.500000,-38.891452,0.000000,top
"KiKit_MB_32_2","NPTH","NPTH",45.497319,-38.765133,0.000000,top
"KiKit_MB_32_3","NPTH","NPTH",46.502680,-38.765133,0.000000,top
"KiKit_MB_32_4","NPTH","NPTH",47.500000,-38.891452,0.000000,top
"KiKit_MB_33_1","NPTH","NPTH",47.500000,-68.497513,0.000000,top
"KiKit_MB_33_2","NPTH","NPTH",46.500000,-68.497513,0.000000,top
"KiKit_MB_33_3","NPTH","NPTH",45.500000,-68.497513,0.000000,top
"KiKit_MB_33_4","NPTH","NPTH",44.500000,-68.497513,0.000000,top
"KiKit_MB_34_1","NPTH","NPTH",57.000000,-55.123756,0.000000,top
"KiKit_MB_34_2","NPTH","NPTH",57.000000,-54.123756,0.000000,top
"KiKit_MB_34_3","NPTH","NPTH",57.000000,-53.123756,0.000000,top
"KiKit_MB_34_4","NPTH","NPTH",57.000000,-52.123756,0.000000,top
"KiKit_MB_35_1","NPTH","NPTH",73.000000,-52.123756,0.000000,top
"KiKit_MB_35_2","NPTH","NPTH",73.000000,-53.123756,0.000000,top
"KiKit_MB_35_3","NPTH","NPTH",73.000000,-54.123756,0.000000,top
"KiKit_MB_35_4","NPTH","NPTH",73.000000,-55.123756,0.000000,top
"KiKit_MB_36_1","NPTH","NPTH",63.500000,-38.891452,0.000000,top
"KiKit_MB_36_2","NPTH","NPTH",64.497319,-38.765133,0.000000,top
"KiKit_MB_36_3","NPTH","NPTH",65.502680,-38.765133,0.000000,top
"KiKit_MB_36_4","NPTH","NPTH",66.500000,-38.891452,0.000000,top
"KiKit_MB_37_1","NPTH","NPTH",66.500000,-68.497513,0.000000,top
"KiKit_MB_37_2","NPTH","NPTH",65.500000,-68.497513,0.000000,top
"KiKit_MB_37_3","NPTH","NPTH",64.500000,-68.497513,0.000000,top
"KiKit_MB_37_4","NPTH","NPTH",63.500000,-68.497513,0.000000,top
"KiKit_MB_38_1","NPTH","NPTH",76.000000,-55.123756,0.000000,top
"KiKit_MB_38_2","NPTH","NPTH",76.000000,-54.123756,0.000000,top
"KiKit_MB_38_3","NPTH","NPTH",76.000000,-53.123756,0.000000,top
"KiKit_MB_38_4","NPTH","NPTH",76.000000,-52.123756,0.000000,top
"KiKit_MB_39_1","NPTH","NPTH",92.000000,-52.123756,0.000000,top
"KiKit_MB_39_2","NPTH","NPTH",92.000000,-53.123756,0.000000,top
"KiKit_MB_39_3","NPTH","NPTH",92.000000,-54.123756,0.000000,top
"KiKit_MB_39_4","NPTH","NPTH",92.000000,-55.123756,0.000000,top
"KiKit_MB_40_1","NPTH","NPTH",82.500000,-38.891452,0.000000,top
"KiKit_MB_40_2","NPTH","NPTH",83.497319,-38.765133,0.000000,top
"KiKit_MB_40_3","NPTH","NPTH",84.502680,-38.765133,0.000000,top
"KiKit_MB_40_4","NPTH","NPTH",85.500000,-38.891452,0.000000,top
"KiKit_MB_41_1","NPTH","NPTH",85.500000,-68.497513,0.000000,top
"KiKit_MB_41_2","NPTH","NPTH",84.500000,-68.497513,0.000000,top
"KiKit_MB_41_3","NPTH","NPTH",83.500000,-68.497513,0.000000,top
"KiKit_MB_41_4","NPTH","NPTH",82.500000,-68.497513,0.000000,top
"KiKit_MB_42_1","NPTH","NPTH",95.000000,-55.123756,0.000000,top
"KiKit_MB_42_2","NPTH","NPTH",95.000000,-54.123756,0.000000,top
"KiKit_MB_42_3","NPTH","NPTH",95.000000,-53.123756,0.000000,top
"KiKit_MB_42_4","NPTH","NPTH",95.000000,-52.123756,0.000000,top
"KiKit_MB_43_1","NPTH","NPTH",101.500000,-38.891452,0.000000,top
"KiKit_MB_43_2","NPTH","NPTH",102.497319,-38.765133,0.000000,top
"KiKit_MB_43_3","NPTH","NPTH",103.502680,-38.765133,0.000000,top
"KiKit_MB_43_4","NPTH","NPTH",104.500000,-38.891452,0.000000,top
"KiKit_MB_44_1","NPTH","NPTH",104.500000,-68.497513,0.000000,top
"KiKit_MB_44_2","NPTH","NPTH",103.500000,-68.497513,0.000000,top
"KiKit_MB_44_3","NPTH","NPTH",102.500000,-68.497513,0.000000,top
"KiKit_MB_44_4","NPTH","NPTH",101.500000,-68.497513,0.000000,top
"TH1","10K NTC","R_0805_2012Metric",78.750000,-21.447513,90.000000,top
"TH1","10K NTC","R_0805_2012Metric",2.750000,-21.447513,90.000000,top
"TH1","10K NTC","R_0805_2012Metric",97.750000,-21.447513,90.000000,top
"TH1","10K NTC","R_0805_2012Metric",97.750000,-54.197513,90.000000,top
"TH1","10K NTC","R_0805_2012Metric",2.750000,-54.197513,90.000000,top
"TH1","10K NTC","R_0805_2012Metric",59.750000,-21.447513,90.000000,top
"TH1","10K NTC","R_0805_2012Metric",21.750000,-21.447513,90.000000,top
"TH1","10K NTC","R_0805_2012Metric",59.750000,-54.197513,90.000000,top
"TH1","10K NTC","R_0805_2012Metric",40.750000,-21.447513,90.000000,top
"TH1","10K NTC","R_0805_2012Metric",78.750000,-54.197513,90.000000,top
"TH1","10K NTC","R_0805_2012Metric",40.750000,-54.197513,90.000000,top
"TH1","10K NTC","R_0805_2012Metric",21.750000,-54.197513,90.000000,top
