Designator,Mid X,Mid Y,Layer,Rotation
"J1",83.2500,-55.4975,top,180.0000
"J8",83.2500,-22.7475,top,180.0000
"J2",64.2500,-55.4975,top,180.0000
"J4",64.2500,-22.7475,top,180.0000
"J7",26.2500,-22.7475,top,180.0000
"J9",26.2500,-55.4975,top,180.0000
"J3",102.2500,-22.7475,top,180.0000
"J11",102.2500,-55.4975,top,180.0000
"J5",7.2500,-22.7475,top,180.0000
"J10",7.2500,-55.4975,top,180.0000
"J6",45.2500,-22.7475,top,180.0000
"J12",45.2500,-55.4975,top,180.0000
"TH1",78.7500,-21.4475,top,90.0000
"TH2",2.7500,-21.4475,top,90.0000
"TH3",97.7500,-21.4475,top,90.0000
"TH4",97.7500,-54.1975,top,90.0000
"TH5",2.7500,-54.1975,top,90.0000
"TH6",59.7500,-21.4475,top,90.0000
"TH7",21.7500,-21.4475,top,90.0000
"TH8",59.7500,-54.1975,top,90.0000
"TH9",40.7500,-21.4475,top,90.0000
"TH10",78.7500,-54.1975,top,90.0000
"TH11",40.7500,-54.1975,top,90.0000
"TH12",21.7500,-54.1975,top,90.0000
